objectid,avgTime,avgCost,ratioCB,ratioRot,count,hrate
1,5.2,4,0.49159964288336894,0.8756584820997221,238.20576070718656,4
2 ,5.7,4.2, 0.5114543955101205,0.8672629557266442, 223.75537457716786,4
3 , 6.4,3.9, 0.4927076895700122, 0.8309602764464986,234.35092026521716,4
4 , 7.95,3.6, 0.48446533073239934,0.7848630709598966,220.4360345307715,4
5 , 8.02,3.6, 0.4877453642039196,0.7756545076980699,237.03082344706073,4
6 , 7.1,3.7, 0.4762202454665087, 0.8110615098607352,233.2452189587268,4
7 , 9.90,3.8, 0.487395197340643, 0.7383929588697733,223.09919337322347,4
8 , 6,3.4, 0.5117432960871608,0.8456268268013157,220.68110848549932,4
9 , 6.45,3, 0.4624490730592657,0.8170646733879411,228.59049290942912,4
10 , 8,2.7, 0.4572330669982451, 0.788203060473909,221.19804042375696,4
11 , 8.2,2.7, 0.4565068137404481,0.7764474734949067,225.9868860462844,4
12 , 7.75,2.4, 0.4571770216375439,0.7912496050075073,219.1161872241426,2.4
13 , 7.5,2, 0.44084525416233816, 0.8034461291718106,222.2181142078255,2.4
14 , 7.75,2.1, 0.46437282333503704, 0.7914122023986402,225.64109012966074,2.4
15 , 7.90,2, 0.4632577150539255, 0.7787219847638109,222.90863667104276,2.4
16 , 8.6,2.5, 0.46476224370074926, 0.7613221590983069,229.6232584891992,2.4
17 , 9.2,2.5, 0.4643532136114282,0.746039108451651, 236.28870855145672,2.4
18 , 10.1,2, 0.4161054697574388, 0.7067925006666171, 236.8863204083813,2.4
19 , 8.4,1.9, 0.42390111461674873, 0.7747937320959459, 222.94759323558043,2.4
20 , 9.4,2, 0.4110232458551177, 0.725192224111263, 223.85081606455145,2.4
