,2.53E+02,,,
9h05,1.98E+02,,,
,2.00E+02,,,
,2.01E+02,,,
,2.02E+02,,,
,2.04E+02,,,
,2.06E+02,,,
,2.07E+02,,,
,2.09E+02,,,
,2.12E+02,,,
,2.14E+02,,,
,2.17E+02,,,
10h,2.19E+02,,,
,2.21E+02,,,
,2.23E+02,,,
,2.25E+02,,,
,2.23E+02,,,
,2.25E+02,,,
,2.28E+02,,,
,2.30E+02,,,
,2.32E+02,,,
,2.35E+02,,,
,2.37E+02,,,
,2.40E+02,,,
11h,2.44E+02,,,
,2.43E+02,,,
,2.45E+02,,,
,2.47E+02,,,
,2.41E+02,,,
,2.43E+02,,,
,2.45E+02,,,
,2.45E+02,,,
,2.46E+02,,,
,2.48E+02,,,
,2.48E+02,,,
,2.50E+02,,,
12h,2.52E+02,,,
,2.40E+02,,,
,2.40E+02,,,
,2.41E+02,,,
,2.41E+02,,,
,2.41E+02,,,
,2.41E+02,,,
,2.41E+02,,,
,2.41E+02,,,
,2.41E+02,,,
,2.41E+02,,,
,2.42E+02,,,
13h,2.43E+02,,,
,2.28E+02,,,
,2.28E+02,,,
,2.28E+02,,,
,2.28E+02,,,
,2.28E+02,,,
,2.27E+02,,,
,2.27E+02,,,
,2.27E+02,,,
,2.27E+02,,,
,2.27E+02,,,
,2.27E+02,,,
14h,2.27E+02,,,
,2.27E+02,,,
,2.27E+02,,,
,2.27E+02,,,
,2.27E+02,,,
,2.28E+02,,,
,2.28E+02,,,
,2.28E+02,,,
,2.29E+02,,,
,2.29E+02,,,
,2.30E+02,,,
,2.31E+02,,,
15h,2.31E+02,,,
,2.32E+02,,,
,2.32E+02,,,
,2.32E+02,,,
,2.33E+02,,,
,2.33E+02,,,
,2.34E+02,,,
,2.34E+02,,,
,2.34E+02,,,
,2.35E+02,,,
,2.35E+02,,,
,2.35E+02,,,
16h,2.36E+02,,,
,2.35E+02,,,
,2.35E+02,,,
,2.35E+02,,,
,2.35E+02,,,
,2.35E+02,,,
,2.35E+02,,,
,2.35E+02,,,
,2.34E+02,,,
,2.34E+02,,,
,2.34E+02,,,
,2.33E+02,,,
17h,2.33E+02,,,
,2.32E+02,,,
,2.31E+02,,,
,2.30E+02,,,
,2.30E+02,,,
,2.29E+02,,,
,2.28E+02,,,
,2.27E+02,,,
,2.27E+02,,,
,2.26E+02,,,
,2.25E+02,,,
,2.25E+02,,,
18h,2.24E+02,,,
,2.23E+02,,,
,2.22E+02,,,
,2.21E+02,,,
,2.21E+02,,,
,2.20E+02,,,
,2.19E+02,,,
,2.19E+02,,,
,2.18E+02,,,
,2.17E+02,,,
,2.17E+02,,,
,2.16E+02,,,
19h,2.15E+02,,,
,2.15E+02,,,
,2.14E+02,,,
,2.13E+02,,,
,2.13E+02,,,
,2.12E+02,,,
,2.11E+02,,,
,2.10E+02,,,
,2.10E+02,,,
,2.09E+02,,,
,2.08E+02,,,
,2.07E+02,,,
20h,2.05E+02,,,
,0.00E+00,,,
,0.00E+00,,,
,0.00E+00,,,
,0.00E+00,,,
,0.00E+00,,,
,0.00E+00,,,
,0.00E+00,,,20.91666667
,0.00E+00,,,55.0002
,0.00E+00,,,
20h,0.00E+00,,,
,0.00E+00,,,
